date,issues_opened,issues_closed,prs_opened,prs_merged,commits,open_issue_backlog,open_pr_backlog,pr_backlog_growth,issue_backlog_growth,pr_imbalance,issue_imbalance,prs_opened_rolling_3d,prs_opened_rolling_7d,prs_merged_rolling_3d,prs_merged_rolling_7d,issues_opened_rolling_3d,issues_opened_rolling_7d,issues_closed_rolling_3d,issues_closed_rolling_7d,commits_rolling_3d,commits_rolling_7d,pr_backlog_growth_rolling_3d,pr_backlog_growth_rolling_7d,issue_backlog_growth_rolling_3d,issue_backlog_growth_rolling_7d,future_7d_avg_backlog
2026-07-16 00:00:00+00:00,0,0,82,52,229,0,164,30.0,0.0,30,0,89.66666666666667,67.14285714285714,62.333333333333336,47.42857142857143,0.0,0.0,0.0,0.0,276.3333333333333,211.28571428571428,27.333333333333332,19.714285714285715,0.0,0.0,226.57142857142858
2026-07-17 00:00:00+00:00,0,0,76,52,217,0,188,24.0,0.0,24,0,86.66666666666667,66.14285714285714,59.333333333333336,45.857142857142854,0.0,0.0,0.0,0.0,255.66666666666666,203.85714285714286,27.333333333333332,20.285714285714285,0.0,0.0,244.85714285714286
2026-07-18 00:00:00+00:00,43,6,20,21,69,37,187,-1.0,37.0,-1,37,59.333333333333336,66.28571428571429,41.666666666666664,47.0,14.333333333333334,6.142857142857143,2.0,0.8571428571428571,171.66666666666666,202.71428571428572,17.666666666666668,19.285714285714285,12.333333333333334,5.285714285714286,264.14285714285717
2026-07-19 00:00:00+00:00,42,25,13,8,55,54,192,5.0,17.0,5,17,36.333333333333336,65.57142857142857,27.0,47.285714285714285,28.333333333333332,12.142857142857142,10.333333333333334,4.428571428571429,113.66666666666667,202.85714285714286,9.333333333333334,18.285714285714285,18.0,7.714285714285714,283.57142857142856
2026-07-20 00:00:00+00:00,131,42,69,41,169,143,220,28.0,89.0,28,89,34.0,63.857142857142854,23.333333333333332,44.142857142857146,72.0,30.857142857142858,24.333333333333332,10.428571428571429,97.66666666666667,191.28571428571428,10.666666666666666,19.714285714285715,47.666666666666664,20.428571428571427,303.2857142857143
2026-07-21 00:00:00+00:00,71,24,78,54,222,190,244,24.0,47.0,24,47,53.333333333333336,62.857142857142854,34.333333333333336,43.142857142857146,81.33333333333333,41.0,30.333333333333332,13.857142857142858,148.66666666666666,183.14285714285714,19.0,19.714285714285715,51.0,27.142857142857142,322.7142857142857
2026-07-22 00:00:00+00:00,98,25,76,51,235,263,269,25.0,73.0,25,73,74.33333333333333,59.142857142857146,48.666666666666664,39.857142857142854,100.0,55.0,30.333333333333332,17.428571428571427,208.66666666666666,170.85714285714286,25.666666666666668,19.285714285714285,69.66666666666667,37.57142857142857,340.14285714285717
2026-07-23 00:00:00+00:00,74,42,77,60,239,295,286,17.0,32.0,17,32,77.0,58.42857142857143,55.0,41.0,81.0,65.57142857142857,30.333333333333332,23.428571428571427,232.0,172.28571428571428,22.0,17.428571428571427,50.666666666666664,42.142857142857146,360.42857142857144
2026-07-24 00:00:00+00:00,96,53,101,71,298,338,316,30.0,43.0,30,43,84.66666666666667,62.0,60.666666666666664,43.714285714285715,89.33333333333333,79.28571428571429,40.0,31.0,257.3333333333333,183.85714285714286,24.0,18.285714285714285,49.333333333333336,48.285714285714285,377.42857142857144
2026-07-25 00:00:00+00:00,44,17,26,20,83,365,322,6.0,27.0,6,27,68.0,62.857142857142854,50.333333333333336,43.57142857142857,71.33333333333333,79.42857142857143,37.333333333333336,32.57142857142857,206.66666666666666,185.85714285714286,17.666666666666668,19.285714285714285,34.0,46.857142857142854,395.7142857142857
2026-07-26 00:00:00+00:00,45,13,15,9,60,397,328,6.0,32.0,6,32,47.333333333333336,63.142857142857146,33.333333333333336,43.714285714285715,61.666666666666664,79.85714285714286,27.666666666666668,30.857142857142858,147.0,186.57142857142858,14.0,19.428571428571427,34.0,49.0,414.2857142857143
2026-07-27 00:00:00+00:00,99,36,88,58,223,460,358,30.0,63.0,30,63,43.0,65.85714285714286,29.0,46.142857142857146,62.666666666666664,75.28571428571429,22.0,30.0,122.0,194.28571428571428,14.0,19.714285714285715,40.666666666666664,45.285714285714285,432.2857142857143
2026-07-28 00:00:00+00:00,74,45,110,88,307,489,380,22.0,29.0,22,29,71.0,70.42857142857143,51.666666666666664,51.0,72.66666666666667,75.71428571428571,31.333333333333332,33.0,196.66666666666666,206.42857142857142,19.333333333333332,19.428571428571427,41.333333333333336,42.714285714285715,450.7142857142857
2026-07-29 00:00:00+00:00,104,33,96,85,317,560,391,11.0,71.0,11,71,98.0,73.28571428571429,77.0,55.857142857142854,92.33333333333333,76.57142857142857,38.0,34.142857142857146,282.3333333333333,218.14285714285714,21.0,17.428571428571427,54.333333333333336,42.42857142857143,470.85714285714283
2026-07-30 00:00:00+00:00,90,34,88,51,277,616,428,37.0,56.0,37,56,98.0,74.85714285714286,74.66666666666667,54.57142857142857,89.33333333333333,78.85714285714286,37.333333333333336,33.0,300.3333333333333,223.57142857142858,23.333333333333332,20.285714285714285,52.0,45.857142857142854,492.7142857142857
2026-07-31 00:00:00+00:00,99,52,88,81,314,663,435,7.0,47.0,7,47,90.66666666666667,73.0,72.33333333333333,56.0,97.66666666666667,79.28571428571429,39.666666666666664,32.857142857142854,302.6666666666667,225.85714285714286,18.333333333333332,17.0,58.0,46.42857142857143,511.85714285714283
2026-08-01 00:00:00+00:00,27,10,27,12,68,680,450,15.0,17.0,15,17,67.66666666666667,73.14285714285714,48.0,54.857142857142854,72.0,76.85714285714286,32.0,31.857142857142858,219.66666666666666,223.71428571428572,19.666666666666668,18.285714285714285,40.0,45.0,529.7142857142857
2026-08-02 00:00:00+00:00,41,14,20,12,48,707,458,8.0,27.0,8,27,45.0,73.85714285714286,35.0,55.285714285714285,55.666666666666664,76.28571428571429,25.333333333333332,32.0,143.33333333333334,222.0,10.0,18.571428571428573,30.333333333333332,44.285714285714285,547.2857142857143
2026-08-03 00:00:00+00:00,145,58,81,55,214,794,484,26.0,87.0,26,87,42.666666666666664,72.85714285714286,26.333333333333332,54.857142857142854,71.0,82.85714285714286,27.333333333333332,35.142857142857146,110.0,220.71428571428572,16.333333333333332,18.0,43.666666666666664,47.714285714285715,568.8571428571429
2026-08-04 00:00:00+00:00,107,81,90,65,290,820,509,25.0,26.0,25,26,63.666666666666664,70.0,44.0,51.57142857142857,97.66666666666667,87.57142857142857,51.0,40.285714285714285,184.0,218.28571428571428,19.666666666666668,18.428571428571427,46.666666666666664,47.285714285714285,590.7142857142857
2026-08-05 00:00:00+00:00,121,76,107,84,401,865,532,23.0,45.0,23,45,92.66666666666667,71.57142857142857,68.0,51.42857142857143,124.33333333333333,90.0,71.66666666666667,46.42857142857143,301.6666666666667,230.28571428571428,24.666666666666668,20.142857142857142,52.666666666666664,43.57142857142857,614.5714285714286
2026-08-06 00:00:00+00:00,97,58,113,64,392,904,581,49.0,39.0,49,39,103.33333333333333,75.14285714285714,71.0,53.285714285714285,108.33333333333333,91.0,71.66666666666667,49.857142857142854,361.0,246.71428571428572,32.333333333333336,21.857142857142858,36.666666666666664,41.142857142857146,633.2857142857143
2026-08-07 00:00:00+00:00,107,50,109,121,388,961,569,-12.0,57.0,-12,57,109.66666666666667,78.14285714285714,89.66666666666667,59.0,108.33333333333333,92.14285714285714,61.333333333333336,49.57142857142857,393.6666666666667,257.2857142857143,20.0,19.142857142857142,47.0,42.57142857142857,657.1428571428571
2026-08-08 00:00:00+00:00,39,17,22,16,89,983,575,6.0,22.0,6,22,81.33333333333333,77.42857142857143,67.0,59.57142857142857,81.0,93.85714285714286,41.666666666666664,50.57142857142857,289.6666666666667,260.2857142857143,14.333333333333334,17.857142857142858,39.333333333333336,43.285714285714285,682.1428571428571
2026-08-09 00:00:00+00:00,39,19,41,35,97,1003,581,6.0,20.0,6,20,57.333333333333336,80.42857142857143,57.333333333333336,62.857142857142854,61.666666666666664,93.57142857142857,28.666666666666668,51.285714285714285,191.33333333333334,267.2857142857143,0.0,17.571428571428573,33.0,42.285714285714285,707.1428571428571
2026-08-10 00:00:00+00:00,140,70,131,77,337,1073,635,54.0,70.0,54,70,64.66666666666667,87.57142857142857,42.666666666666664,66.0,72.66666666666667,92.85714285714286,35.333333333333336,53.0,174.33333333333334,284.85714285714283,22.0,21.571428571428573,37.333333333333336,39.857142857142854,731.0
2026-08-11 00:00:00+00:00,104,89,119,92,388,1088,662,27.0,15.0,27,15,97.0,91.71428571428571,68.0,69.85714285714286,94.33333333333333,92.42857142857143,59.333333333333336,54.142857142857146,274.0,298.85714285714283,29.0,21.857142857142858,35.0,38.285714285714285,755.0
