commit_sha,author,file_name
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotAgent.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotAgentSession.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotSandboxPolicyDisplay.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotSlashCommand.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotSlashCommandCompletionProvider.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/node/copilot/copilotSlashCommandProvider.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/test/node/copilotAgentSession.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/test/node/copilotSlashCommand.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/platform/agentHost/test/node/copilotSlashCommandCompletionProvider.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/browser/actions/chatAccessibilityHelp.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/browser/agentSessions/agentHost/stateToProgressAdapter.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatInlineAnchorWidget.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/browser/widget/chatContentParts/chatMarkdownDecorationsRenderer.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/browser/widget/chatContentParts/media/chatInlineAnchorWidget.css
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/test/browser/accessibility/chatAccessibilityHelp.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/test/browser/agentSessions/stateToProgressAdapter.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/test/browser/widget/chatContentParts/chatInlineAnchorWidget.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/contrib/chat/test/browser/widget/chatContentParts/chatMarkdownContentPart.test.ts
adc9092582503ef136344e5d017aa68b3c10c944,dileepyavan,src/vs/workbench/test/browser/componentFixtures/chat/chatWidget.fixture.ts
c6dfca58e2c67d216560efb4ecf0474b0d42ee2d,breck7,README.md
1988c1f57736673794b702c276d597b88f72e3c0,TylerLeonhardt,src/vs/sessions/contrib/chat/browser/chat.contribution.ts
