commit_sha,pr_number,file_name,status,additions,deletions,changes
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedback.contribution.ts,modified,17,1,18
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackEditorActions.ts,modified,3,1,4
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackEditorInputContribution.ts,modified,175,48,223
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackEditorOverlay.ts,modified,2,1,3
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackEditorWidget.ts,modified,3,0,3
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackEditorWidgetContribution.ts,modified,3,1,4
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackItemsBackend.ts,modified,68,46,114
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackPRReviewSeeder.ts,modified,3,5,8
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/agentFeedbackService.ts,modified,11,5,16
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/feedbackInputWidget.ts,modified,7,0,7
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/nullAgentFeedbackService.contribution.ts,modified,1,0,1
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/browser/sessionEditorComments.ts,modified,12,18,30
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/test/browser/agentFeedbackEditorWidget.test.ts,modified,29,1,30
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/test/browser/agentFeedbackInputWidget.fixture.ts,modified,3,0,3
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/test/browser/agentFeedbackItemsBackend.test.ts,modified,101,1,102
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/test/browser/agentFeedbackService.test.ts,modified,26,1,27
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/agentFeedback/test/browser/sessionEditorComments.test.ts,modified,14,2,16
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/changes/test/browser/agentsDiffEditor.fixture.ts,modified,3,0,3
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/codeReview/browser/codeReviewService.ts,modified,169,2,171
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/codeReview/test/browser/codeReviewService.test.ts,modified,193,2,195
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/browser/fetchers/githubChangesFetcher.ts,modified,2,0,2
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/browser/fetchers/githubPRFetcher.ts,modified,60,2,62
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/browser/githubService.ts,modified,14,0,14
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/browser/models/githubPullRequestModel.ts,modified,7,0,7
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/common/types.ts,modified,3,1,4
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/test/browser/githubFetchers.test.ts,modified,66,5,71
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/sessions/contrib/github/test/browser/githubModels.test.ts,modified,17,0,17
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/workbench/contrib/comments/browser/commentsController.ts,modified,2,1,3
f947f3198814f0802823fdc6c1a2807f9ec8559f,335648,src/vs/workbench/test/browser/componentFixtures/fixtureUtils.ts,modified,1,0,1
cab36d183f3a960cae4359d962b0b39bb9a5d3ba,335646,src/vs/sessions/contrib/sessions/browser/views/sessionsList.ts,modified,22,4,26
cab36d183f3a960cae4359d962b0b39bb9a5d3ba,335646,src/vs/sessions/contrib/sessions/browser/views/sessionsView.ts,modified,24,0,24
cab36d183f3a960cae4359d962b0b39bb9a5d3ba,335646,src/vs/sessions/contrib/sessions/test/browser/sessionsList.test.ts,modified,44,1,45
f1ec07bddc2161908816d7a37b258cb20752b98c,335646,src/vs/sessions/contrib/sessions/test/browser/sessionsList.test.ts,modified,28,0,28
00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,335641,extensions/microsoft-authentication/src/common/cachePlugin.ts,modified,13,0,13
00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,335641,extensions/microsoft-authentication/src/node/cachedPublicClientApplication.ts,modified,9,2,11
00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,335641,extensions/microsoft-authentication/src/node/test/tokenCache.test.ts,added,411,0,411
00c1bd1e901fa496cde70b4baa2e2cfd3742cdfd,335641,extensions/microsoft-authentication/src/node/tokenCache.ts,added,31,0,31
